category,object,query,query_type,assigned_to
consumer_electronics,headphones,how to store headphones,object_problem,member_1
consumer_electronics,macbook,macbook scratched easily,object_problem,member_1
consumer_electronics,macbook,safe storage for macbook,object_problem,member_1
consumer_electronics,earbuds,safe storage for earbuds,object_problem,member_1
consumer_electronics,tablet,tablet damaged in bag,object_problem,member_1
consumer_electronics,airpods,airpods easy to break,object_problem,member_1
consumer_electronics,earbuds,earbuds damaged in bag,object_problem,member_1
consumer_electronics,macbook,no good case for macbook,object_problem,member_1
consumer_electronics,airpods,safe storage for airpods,object_problem,member_1
consumer_electronics,ipad,ipad easy to break,object_problem,member_1
consumer_electronics,earbuds,earbuds scratched easily,object_problem,member_1
consumer_electronics,airpods,airpods damaged in bag,object_problem,member_1
consumer_electronics,headphones,headphones damaged in bag,object_problem,member_1
consumer_electronics,airpods,airpods needs a case,object_problem,member_1
consumer_electronics,ipad,no good case for ipad,object_problem,member_1
consumer_electronics,airpods,airpods scratched easily,object_problem,member_1
consumer_electronics,tablet,how to store tablet,object_problem,member_1
consumer_electronics,headphones,headphones needs a case,object_problem,member_1
consumer_electronics,macbook,how to protect macbook,object_problem,member_1
consumer_electronics,ipad,ipad needs a case,object_problem,member_1
consumer_electronics,macbook,macbook easy to break,object_problem,member_1
consumer_electronics,earbuds,earbuds needs a case,object_problem,member_1
consumer_electronics,earbuds,how to protect earbuds,object_problem,member_1
consumer_electronics,earbuds,no good case for earbuds,object_problem,member_1
consumer_electronics,ipad,safe storage for ipad,object_problem,member_1
consumer_electronics,tablet,how to protect tablet,object_problem,member_1
consumer_electronics,headphones,no good case for headphones,object_problem,member_1
consumer_electronics,earbuds,best way to carry earbuds,object_problem,member_1
consumer_electronics,airpods,how to protect airpods,object_problem,member_1
consumer_electronics,macbook,best way to carry macbook,object_problem,member_1
consumer_electronics,ipad,how to protect ipad,object_problem,member_1
consumer_electronics,ipad,ipad scratched easily,object_problem,member_1
consumer_electronics,tablet,tablet scratched easily,object_problem,member_1
consumer_electronics,ipad,best way to carry ipad,object_problem,member_1
consumer_electronics,macbook,how to store macbook,object_problem,member_1
consumer_electronics,airpods,how to store airpods,object_problem,member_1
consumer_electronics,headphones,safe storage for headphones,object_problem,member_1
consumer_electronics,airpods,best way to carry airpods,object_problem,member_1
consumer_electronics,tablet,tablet easy to break,object_problem,member_1
consumer_electronics,tablet,safe storage for tablet,object_problem,member_1
consumer_electronics,ipad,ipad damaged in bag,object_problem,member_1
consumer_electronics,headphones,headphones easy to break,object_problem,member_1
consumer_electronics,tablet,no good case for tablet,object_problem,member_1
consumer_electronics,earbuds,how to store earbuds,object_problem,member_1
consumer_electronics,headphones,headphones scratched easily,object_problem,member_1
consumer_electronics,headphones,how to protect headphones,object_problem,member_1
consumer_electronics,macbook,macbook damaged in bag,object_problem,member_1
consumer_electronics,headphones,best way to carry headphones,object_problem,member_1
consumer_electronics,airpods,no good case for airpods,object_problem,member_1
consumer_electronics,tablet,tablet needs a case,object_problem,member_1
consumer_electronics,earbuds,earbuds easy to break,object_problem,member_1
consumer_electronics,ipad,how to store ipad,object_problem,member_1
consumer_electronics,macbook,macbook needs a case,object_problem,member_1
consumer_electronics,tablet,best way to carry tablet,object_problem,member_1
consumer_electronics,headphones,headphones travel setup,object_scenario,member_1
consumer_electronics,tablet,tablet travel setup,object_scenario,member_1
consumer_electronics,airpods,airpods travel setup,object_scenario,member_1
consumer_electronics,tablet,tablet daily carry,object_scenario,member_1
consumer_electronics,headphones,headphones accessories setup,object_scenario,member_1
consumer_electronics,headphones,headphones bag setup,object_scenario,member_1
consumer_electronics,ipad,ipad bag setup,object_scenario,member_1
consumer_electronics,airpods,airpods bag setup,object_scenario,member_1
consumer_electronics,macbook,macbook bag setup,object_scenario,member_1
consumer_electronics,earbuds,earbuds bag setup,object_scenario,member_1
consumer_electronics,airpods,airpods daily carry,object_scenario,member_1
consumer_electronics,ipad,ipad travel setup,object_scenario,member_1
consumer_electronics,ipad,ipad accessories setup,object_scenario,member_1
consumer_electronics,airpods,airpods accessories setup,object_scenario,member_1
consumer_electronics,earbuds,earbuds travel setup,object_scenario,member_1
consumer_electronics,macbook,macbook daily carry,object_scenario,member_1
consumer_electronics,tablet,tablet bag setup,object_scenario,member_1
consumer_electronics,macbook,macbook travel setup,object_scenario,member_1
consumer_electronics,macbook,macbook accessories setup,object_scenario,member_1
consumer_electronics,earbuds,earbuds accessories setup,object_scenario,member_1
consumer_electronics,headphones,headphones daily carry,object_scenario,member_1
consumer_electronics,ipad,ipad daily carry,object_scenario,member_1
consumer_electronics,tablet,tablet accessories setup,object_scenario,member_1
consumer_electronics,earbuds,earbuds daily carry,object_scenario,member_1
camera_drone,drone battery,best way to carry drone battery,object_problem,member_2
camera_drone,drone,no good case for drone,object_problem,member_2
camera_drone,drone,drone damaged in bag,object_problem,member_2
camera_drone,drone battery,how to store drone battery,object_problem,member_2
camera_drone,gopro,gopro damaged in bag,object_problem,member_2
camera_drone,drone battery,drone battery easy to break,object_problem,member_2
camera_drone,camera,camera scratched easily,object_problem,member_2
camera_drone,camera lens,safe storage for camera lens,object_problem,member_2
camera_drone,camera,camera damaged in bag,object_problem,member_2
