comment_id,video_id,thread_id,parent_comment_id,is_reply,author_display_name,text_original,clean_text,comment_like_count,published_at,product_categories,video_context,demand_signals,priority_level,title,channel_title,description,view_count,engagement_rate,video_url,search_keyword,fetched_by,signal,confidence,reason
Ugz2viweFNBX6AOOEgF4AaABAg,-H-NcR9VAHI,Ugz2viweFNBX6AOOEgF4AaABAg,,False,@タズ,I want this case only!,i want this case only!,0,2026-04-28 15:47:15+00:00,camera_optics,general,general,general,OPPO Find X9 Ultra Hasselblad Earth Explorer Photography Kit,Isa does tech,,51291,22.64,https://www.youtube.com/watch?v=-H-NcR9VAHI,camera lens protective case,dashboard_user,purchase_intent,0.9,"The comment explicitly states 'I want this case only!', referring to a case shown in a video about a photography kit. This indicates a clear desire to purchase the protective/storage case for camera equipment."
UgyTpUc0T6twxMA7jjJ4AaABAg,ma-vRS5qyiI,UgyTpUc0T6twxMA7jjJ4AaABAg,,False,@gxsattu,"Video pe jo cover use kar rahe ho...wow to link pe nehi hay,,, chutiyapa ki ek limit hota hay","video pe jo cover use kar rahe ho...wow to link pe nehi hay,,, chutiyapa ki ek limit hota hay",0,2026-04-28 14:25:42+00:00,camera_optics|general_protection,general,general,general,Vivo V70 / V70 Elite 5G Best Metal Camera lens with MagSafe  Back Cover #vivov70 #vivov70elite. 👀,BEST1 MOBILE ACCESORIES COVERVALA,,102541,14.23,https://www.youtube.com/watch?v=ma-vRS5qyiI,camera lens storage case,dashboard_user,no_signal,0.95,"The comment is about a phone cover (back cover) for a Vivo phone, which falls under the exclusion scope for phone cases. It complains about the link not being available, but the product is a phone accessory, not a professional storage or protective product."
Ugx5Rj7WnuUpy9KPfw14AaABAg,_qlFsngB_EQ,Ugx5Rj7WnuUpy9KPfw14AaABAg,,False,@mravidr,GREAT TUTORIAL. THANK YOU VERY MUCH,great tutorial. thank you very much,0,2026-04-28 07:38:49+00:00,camera_optics|tools_equipment|general_protection,general,general,general,Samsung S26 Ultra - Best Camera Settings for Video and Photos!,Steven Divish,"This is a practical, in-depth tutorial for the Samsung Galaxy S26 Ultra powered by the Snapdragon 8 Elite Gen 5 Mobile Platform for Galaxy.
We'll start with the essential photo settings and composition tools, then move into more advanced controls like autofocus tracking, resolution choices, and how the Qualcomm Spectra ISP + Neural Processing Unit work together for real-time scene optimization.
You’ll also see how the new Virtual Reflector works, which framerate to choose for video, and a full breakdown of APV LOG, including how it differs from HEVC and when to use each format.

Gear I Used in This video:
Freewell x StevenDivish Anamorphic Lens - http://bit.ly/4hgBHu7 
S26 Ultra Kevlar Case - https://bit.ly/3N5JOPd

Finally, I show two workflows for editing APV LOG footage: one directly on the S26 Ultra, and one on a computer for full professional control.

Timecodes:
00:00 - Shot on S26 Ultra
PART 1 (Photography Settings)
00:55 - Photo Settings for S26 Ultra Explained
01:35 - Composition Guide Setting
02:07 - Autofocus and Filters (SNAPDRAGON Qualcomm Spectra ISP and Qualcomm Hexagon NPU Neural Processing)
03:35 - Camera Assistant (Lenses, Focus, Resolution)
05:34 - Advanced Photo Controls on S26 Ultra Explained
07:25 - Scanning and Processing Settings (SNAPDRAGON on-device processing)
09:00 - What resolution to use for photos on S26 Ultra?
10:07 - Virtual Reflector on S26 Ultra Tutorial (SNAPDRAGON real-time processing)
11:04 - Editing with SPen on S26 Ultra
PART 2 (Video Settings)
11:52 - Video Settings
12:05 - Video Resolution HD or 4k Explained
12:30 - Video Framerate (30FPS or 60 FPS)
12:58 - Video Format (Bitrate, HDR, LOG) on S26 Ultra
14:19 - Samsung LUTS for S26 Ultra Videos
15:01 - APV Videos Explained
16:30 - APV Video Settings (LQ vs HQ vs HEVC)
17:50 - Should you choose LOG or HDR for videos?
18:52 - APV Editing (2 ways: on a phone or a laptop)

Make sure to subscribe and like this video it took a lot of time and effort to make this episode. Thank you for your support!

#SponsoredBySnapdragon #s26ultra",173798,43.13,https://www.youtube.com/watch?v=_qlFsngB_EQ,camera best case for,dashboard_user,no_signal,1.0,"This comment simply praises a tutorial about camera settings for a Samsung phone. It does not mention any storage or protective product, nor does it express any need for such items."
UgxGOEr_TnjTvrMH8Dt4AaABAg,-H-NcR9VAHI,UgxGOEr_TnjTvrMH8Dt4AaABAg,,False,@camotech1314,You're handling that big boy pretty well 😮,you re handling that big boy pretty well,0,2026-04-28 04:53:05+00:00,camera_optics,general,general,general,OPPO Find X9 Ultra Hasselblad Earth Explorer Photography Kit,Isa does tech,,51291,22.64,https://www.youtube.com/watch?v=-H-NcR9VAHI,camera lens protective case,dashboard_user,no_signal,1.0,"The comment comments on the handling of a camera device ('that big boy') but does not reference any case, bag, or protective product. It is purely observational about the video content."
Ugy-5UV9ZMVdmxX8Frl4AaABAg,yEQG1esUiTk,Ugy-5UV9ZMVdmxX8Frl4AaABAg,,False,@smartographic,Such a great Review Dan. Also like your real life views an in Depth Thoughts about really usage that matters.,such a great review dan. also like your real life views an in depth thoughts about really usage that matters.,0,2026-04-27 18:56:18+00:00,camera_optics|digital_accessories|general_protection,unboxing|comparison,review_comparison,general,DJI Osmo Pocket 4 Unboxing & Comparison to Osmo Pocket 3,Dan Vineberg,"00:00 - Introducing the Osmo Pocket 4
01:03 - Unboxing
02:02 - Why I Didn’t Buy the Creator Pack
04:23 - Carrying Case vs Hard Shell
05:56 - Stickers
07:02 - USB 3.1
07:45 - First Time Holding Osmo Pocket 4
10:59 - Two new buttons
11:39 - Osmo Pocket 3 vs 4 Size Comparison
12:46 - Disappointment with DJI Support Team
13:55 - Does Osmo Pocket 4 fit Osmo Pocket 3 Hard Case?
15:19 - Important Warning
15:40 - New Joystick
16:42 - New SD Card Slot
17:15 - Built in Storage vs SD Cards
21:30 - Grip Extension
23:22 - Full Review Coming Soon
24:57 - Does Osmo Pocket 4 Fit Nicely in Carrying Bag?
27:25 - Further Thoughts on Creator Pack
28:01 - I BROKE THE POCKET 4! 😂
30:37 - Trouble Shooting the Broken Camera
35:13 - FIXED AT LAST!
37:24 - Gimbal Clamp is a Big Downgrade from the Old Hard Case
38:56 - Other Upgrades for Osmo Pocket 4
40:43 - Slow Motion is Overrated (in my opinion)
41:48 - A small but useful settings change
42:19 - The New Magnets on Top
43:51 - Battery Grip Not Included
44:10 - Wide Angle Lens Attachment
44:51 - Simplicity is Beautiful
45:46 - Is Jumping from 3 to 4 Worth it?
47:33 - Why Osmo Pocket is Loved by Everyone
48:18 - Why Isn’t Osmo Pocket 4 For Sale in USA?
49:49 - Osmo Pocket 4 in China
50:26 - Final Thoughts",606,39.6,https://www.youtube.com/watch?v=yEQG1esUiTk,camera lens storage case,dashboard_user,no_signal,1.0,"This is a general compliment about a review video for a DJI camera. There is no mention of any storage or protective product, nor any demand signal related to cases or bags."
UgygYV5urNZCWC6tX7Z4AaABAg,bgcUT0SKs14,UgygYV5urNZCWC6tX7Z4AaABAg,,False,@matts3290,"Now i understand why i do not have a you tube channel. It would only last 10 seconds. I carry an IPhone Air, My car key fob, and ridge rally with 1 credit card, 1 debit card and drivers license in it. I love the freedom of traveling light.","now i understand why i do not have a you tube channel. it would only last 10 seconds. i carry an iphone air, my car key fob, and ridge rally with 1 credit card, 1 debit card and drivers license in it. i love the freedom of traveling light.",1,2026-04-27 17:54:05+00:00,camera_optics|digital_accessories|gaming|travel_outdoor|collectibles|audio|general_protection,general,general,general,My Everyday Carry Tech - EDC 2026!,Byte Review,"My EDC tech for 2026! This is every piece of tech I carry with me when I leave the house, phones, headphones, gaming devices, watches, etc! Enjoy!

🏙️ Byte Review Stickers - https://kirokustudio.co.uk/product-category/physical/stickers/
📸 Follow me on IG : https://www.instagram.com/bytereview
-
⌚️ Check out Britt's channel - https://www.youtube.com/@BrittPearceWatches
📼 Echo Mini video - https://youtu.be/XaTRhWazMPs


⚡ Featured :

• iPhone 17 Pro Max - https://geni.us/JiUK
• SnowSky Echo Mini - https://geni.us/jX2zQx
• Nothing Headphone (1) - https://geni.us/zbqpG0
• Ridge Wallet - https://geni.us/5uu2HQ7
• Nomad Tracking Card - https://geni.us/xSLAK
• Ridge Keyholder - https://geni.us/maAEbsF
• Orbitkey Ring - https://geni.us/gl1kl
• Orbitkey Key Organiser - https://bit.ly/3e6PB2e
• Olight iMini 2 Torch - https://geni.us/36861S
• Orbitkey Travel Sling - https://geni.us/Buc4e
• MOFT Snap on Tripod - https://moftinc.pxf.io/c/2523668/2790346/31698
• Ulanzi MA30 Tripod - https://geni.us/XwZZNCU
• Long Weekend Bag - https://bit.ly/3E8DvpN
• Apple Silicone Case - https://geni.us/EPwm59Z
• Anker MagGo Charger - https://geni.us/nJ6YMC
• DJI Osmo Pocket 3 - https://geni.us/Xh31d9l
• Sony A7C ii - https://geni.us/xpXLIKM
• Sony G 24mm 2.8 - https://geni.us/jz6QFh2

📼 Timestamps :

• 0:00 - iPhone 17 Pro Max 6 months later
• 2:27 - I ditched spotify for this...
• 3:45 - Headphones I grew to like
• 4:34 - Wallet & keys with tracking!
• 6:41 - Sweet little torch
• 7:43 - New watches, Tudor, Grand Seiko!
• 9:20 - A better sling bag
• 10:36 - My new favourite iPhone accessory
• 11:45 - I LOVE this wireless charger
• 12:47 - AirPods 3 are...
• 13:42 - Travel Bag of dreams
•14:30 - Retro console of choice
• 15:07 - Favourite vlog filming camera 
• 16:31 - Goodbye Fujifilm X100VI...

• 🎵 Music used - https://www.epidemicsound.com/referral/knr9ry

• Links provided are affiliated & help support the channel •

#edc #everdaycarry #edc2026",70620,36.9,https://www.youtube.com/watch?v=bgcUT0SKs14,camera everyday carry,dashboard_user,no_signal,1.0,"The comment describes the user's own minimal everyday carry (phone, key fob, wallet) but does not mention any protective case or storage container. It is about personal preference for traveling light, not about a product need."
UgxTxoLmYoRSdkowzmR4AaABAg,RkNkmIt2UZ8,UgxTxoLmYoRSdkowzmR4AaABAg,,False,@patrickestalane9040,What techpouch do you suggest that can suit a big gaming laptop charger? Thanks,what techpouch do you suggest that can suit a big gaming laptop charger? thanks,0,2026-04-27 13:17:39+00:00,travel_outdoor|collectibles|tools_equipment|general_protection,tutorial,general,general,10 BRILLIANT Tech Pouches for Travel + Everyday Carry (2026 Guide),Nomads Nation ,"🔥 Check out the bag I made 👉🏼 https://fyro.co/pages/meet-the-tenax-22

**********

🌐 Sign up to the NNewsletter 
➡️ https://nomadsnation.com/newsletter/

**********

#1 🎒 Aer Slim Pouch 2
      👉🏼 Watch our review: https://youtu.be/0aiRnsCVTw8
      👉🏼 Check the best price: https://www.awin1.com/cread.php?awinmid=56553&awinaffid=1952457&clickref2=yt&ued=https%3A%2F%2Faersf.com%2Fproducts%2Fslim-pouch-2

#2 🎒 Sympl Tech Kit
      👉🏼 Watch our review: COMING SOON!
      👉🏼 Check the best price: https://www.awin1.com/cread.php?awinmid=100567&awinaffid=1952457&clickref=yt&ued=https%3A%2F%2Fsymplofficial.com%2Fproducts%2Ftech-kit

#3 🎒 Evergoods CAP2 (Civic Access Pouch 2L)
      👉🏼 Watch our review: https://youtu.be/dbnFu2khfgc
      👉🏼 Check the best price: https://www.avantlink.com/click.php?tool_type=cl&merchant_id=979c8110-c5fe-47bb-8319-32d30c781738&website_id=07eb4d4a-206a-463c-9d5a-43b7e9e1eec2&url=https%3A%2F%2Fevergoods.us%2Fproducts%2Fcivic-access-pouch-0-5l&ctc=yt

#4 🎒 Evergoods CAP1 (Civic Access Pouch 1L)
      👉🏼 Watch our review: https://www.youtube.com/watch?v=zSkhdmCbOdg
      👉🏼 Check the best price: https://www.avantlink.com/click.php?tool_type=cl&merchant_id=979c8110-c5fe-47bb-8319-32d30c781738&website_id=07eb4d4a-206a-463c-9d5a-43b7e9e1eec2&url=https%3A%2F%2Fevergoods.us%2Fproducts%2Fcivic-access-pouch-1l&ctc=yt

#5 🎒 Tomtoc Light T12 Tech Pouch
      👉🏼 Watch our review: https://youtu.be/0ch0v6hmC5E
      👉🏼 Check the best price: https://www.awin1.com/cread.php?awinmid=96147&awinaffid=1952457&clickref2=yt&ued=https%3A%2F%2Fwww.tomtoc.com%2Fproducts%2Flight-t12-electronic-accessory-pouch-s (🔖Use code TOMTOCAARON20 for 20% off at checkout)

#6 🎒 Rushfaster Essential Tech Pouch
      👉🏼 Watch our review: https://youtu.be/Sb7JRamyiUY
      👉🏼 Check the best price: https://rushfaster.com.au/collections/rushfaster?utm_source=aaronradcliffe&utm_medium=youtube&utm_campaign=edc1release

#7 🎒 Alpaka Vertex Pouch Mini
      👉🏼 Watch our review: https://www.youtube.com/watch?v=iQRPnxw33QE
      👉🏼 Check the best price: https://alpakagear.com/products/vertex-pouch-mini-2l?affiliate_code=NNation&dt_id=1937418%3Bap%3A1593560&platform=shopify-collabs&subid=yt (🔖15% discount code applied with link)

#8 🎒 Piorama Omni Sleeve
      👉🏼 Watch our review: https://www.youtube.com/watch?v=1xHJyIyeKT0
      👉🏼 Check the best price: https://www.avantlink.com/click.php?tool_type=cl&merchant_id=c04cf957-c70a-451a-ae2b-a256775e74ef&website_id=07eb4d4a-206a-463c-9d5a-43b7e9e1eec2&url=https%3A%2F%2Fwww.piorama.co%2Fen-int%2Fproducts%2Fomni&ctc=yt

#9 🎒 Peak Design Tech Pouch (Small)
      👉🏼 Watch our review: https://youtu.be/D4PVwqO3hlI
      👉🏼 Check the best price: https://peak-design.pxf.io/raNV0D

#10 🎒 Bellroy Desk Caddy
      👉🏼 Watch our review: https://youtu.be/1IyfX0LWEXI
      👉🏼 Check the best price: https://click.linksynergy.com/deeplink?id=EXmp78*K42o&mid=43345&murl=https%3A%2F%2Fbellroy.com%2Fproducts%2Fdesk-caddy&u1=yt

**********

00:00 - Intro
03:22 - Aer
04:22 - Sympl
05:38 - Evergoods
07:44 - Evergoods
09:56 - Tomtoc
11:06 - Rushfaster
12:37 - Alpaka
14:59 - Piorama
16:40 - Peak design
18:48 - Bellroy

**********

Looking to have YOUR backpack reviewed? Contact Aaron at aaron@nomadsnation.com

**********

Affiliate Disclosure: We hope you enjoyed our XXX review! To support our channel, we use affiliate links in our content. Clicking on these links and making a purchase helps us keep creating great videos (at no extra cost to you!)

Free Gear Disclosure: We often receive free gear for our reviews, but this does not influence our opinions. We always provide honest reviews—if a product isn't up to par, we'll tell you.",17022,31.49,https://www.youtube.com/watch?v=RkNkmIt2UZ8,camera everyday carry,dashboard_user,purchase_intent,0.95,"The user explicitly asks for a tech pouch recommendation that can fit a large gaming laptop charger. This is a clear request for a storage/organization product, indicating intent to purchase a tech pouch for carrying equipment."
UgyUc9S30E_hoKEmnKd4AaABAg.AVzycrukeO1AW61CHadHmm,mbeXPnKPhhg,UgyUc9S30E_hoKEmnKd4AaABAg,UgyUc9S30E_hoKEmnKd4AaABAg,True,@komiesp32,@Interesting_Banana okay but he hates nikon the most,interesting_banana okay but he hates nikon the most,1,2026-04-27 11:17:39+00:00,camera_optics|digital_accessories,general,general,general,Saving a Broken Vintage Mirrorless: Lumix G2,Shuttario,"Got this old Panasonic Lumix G2 with a totally black screen. At first it looked like the LCD was gone, but after opening it up I found the real problem — a torn flex cable inside the flip screen hinge. I swapped the whole swivel screen mount with another one that had a good flex cable. Put everything back together, powered it on, and the screen came right back to life.",79594,19.35,https://www.youtube.com/watch?v=mbeXPnKPhhg,mirrorless camera damaged,dashboard_user,no_signal,1.0,This is a reply about a person's opinion on camera brands (Nikon). It has no relevance to storage or protective products.
Ugy1j0j1JRGlsSYsGtd4AaABAg,yEQG1esUiTk,Ugy1j0j1JRGlsSYsGtd4AaABAg,,False,@Jaxon_reed21,always been a fan of the osmo pocket! but it's never really had a competitor til now.. will be interesting to see how luna does. the reviews I've seen so far look promising,always been a fan of the osmo pocket! but it s never really had a competitor til now.. will be interesting to see how luna does. the reviews i ve seen so far look promising,3,2026-04-27 08:33:59+00:00,camera_optics|digital_accessories|general_protection,unboxing|comparison,general,general,DJI Osmo Pocket 4 Unboxing & Comparison to Osmo Pocket 3,Dan Vineberg,"00:00 - Introducing the Osmo Pocket 4
01:03 - Unboxing
02:02 - Why I Didn’t Buy the Creator Pack
04:23 - Carrying Case vs Hard Shell
05:56 - Stickers
07:02 - USB 3.1
07:45 - First Time Holding Osmo Pocket 4
10:59 - Two new buttons
11:39 - Osmo Pocket 3 vs 4 Size Comparison
12:46 - Disappointment with DJI Support Team
13:55 - Does Osmo Pocket 4 fit Osmo Pocket 3 Hard Case?
15:19 - Important Warning
15:40 - New Joystick
16:42 - New SD Card Slot
17:15 - Built in Storage vs SD Cards
21:30 - Grip Extension
23:22 - Full Review Coming Soon
24:57 - Does Osmo Pocket 4 Fit Nicely in Carrying Bag?
27:25 - Further Thoughts on Creator Pack
28:01 - I BROKE THE POCKET 4! 😂
30:37 - Trouble Shooting the Broken Camera
35:13 - FIXED AT LAST!
37:24 - Gimbal Clamp is a Big Downgrade from the Old Hard Case
38:56 - Other Upgrades for Osmo Pocket 4
40:43 - Slow Motion is Overrated (in my opinion)
41:48 - A small but useful settings change
42:19 - The New Magnets on Top
43:51 - Battery Grip Not Included
44:10 - Wide Angle Lens Attachment
44:51 - Simplicity is Beautiful
45:46 - Is Jumping from 3 to 4 Worth it?
47:33 - Why Osmo Pocket is Loved by Everyone
48:18 - Why Isn’t Osmo Pocket 4 For Sale in USA?
49:49 - Osmo Pocket 4 in China
50:26 - Final Thoughts",606,39.6,https://www.youtube.com/watch?v=yEQG1esUiTk,camera lens storage case,dashboard_user,no_signal,1.0,"The comment discusses a DJI camera and its competitor, but does not mention any case, bag, or protective product. It is purely about the camera device itself."
UgyUc9S30E_hoKEmnKd4AaABAg.AVzycrukeO1AW5hcVgOG4I,mbeXPnKPhhg,UgyUc9S30E_hoKEmnKd4AaABAg,UgyUc9S30E_hoKEmnKd4AaABAg,True,@komiesp32,he never break any camera other than nikon,he never break any camera other than nikon,1,2026-04-27 08:17:52+00:00,camera_optics|digital_accessories,general,general,general,Saving a Broken Vintage Mirrorless: Lumix G2,Shuttario,"Got this old Panasonic Lumix G2 with a totally black screen. At first it looked like the LCD was gone, but after opening it up I found the real problem — a torn flex cable inside the flip screen hinge. I swapped the whole swivel screen mount with another one that had a good flex cable. Put everything back together, powered it on, and the screen came right back to life.",79594,19.35,https://www.youtube.com/watch?v=mbeXPnKPhhg,mirrorless camera damaged,dashboard_user,no_signal,1.0,This comment is about a person breaking cameras (specifically Nikon). It does not relate to any storage or protective product.
