category,object,query,query_type,assigned_to
digital_accessories,ssd,ssd needs a case,object_problem,member_3
digital_accessories,hard drive,safe storage for hard drive,object_problem,member_3
digital_accessories,charger,how to protect charger,object_problem,member_3
digital_accessories,hard drive,hard drive scratched easily,object_problem,member_3
digital_accessories,charger,charger easy to break,object_problem,member_3
digital_accessories,ssd,ssd scratched easily,object_problem,member_3
digital_accessories,cables,cables damaged in bag,object_problem,member_3
digital_accessories,cables,cables scratched easily,object_problem,member_3
digital_accessories,power bank,power bank damaged in bag,object_problem,member_3
digital_accessories,hard drive,hard drive needs a case,object_problem,member_3
digital_accessories,adapter,adapter scratched easily,object_problem,member_3
digital_accessories,cables,how to protect cables,object_problem,member_3
digital_accessories,ssd,safe storage for ssd,object_problem,member_3
digital_accessories,cables,cables easy to break,object_problem,member_3
digital_accessories,adapter,no good case for adapter,object_problem,member_3
digital_accessories,adapter,adapter damaged in bag,object_problem,member_3
digital_accessories,charger,safe storage for charger,object_problem,member_3
digital_accessories,power bank,how to protect power bank,object_problem,member_3
digital_accessories,hard drive,how to store hard drive,object_problem,member_3
digital_accessories,charger,charger damaged in bag,object_problem,member_3
digital_accessories,charger,charger needs a case,object_problem,member_3
digital_accessories,adapter,adapter easy to break,object_problem,member_3
digital_accessories,charger,charger scratched easily,object_problem,member_3
digital_accessories,ssd,how to store ssd,object_problem,member_3
digital_accessories,power bank,best way to carry power bank,object_problem,member_3
digital_accessories,ssd,ssd damaged in bag,object_problem,member_3
digital_accessories,usb hub,how to store usb hub,object_problem,member_3
digital_accessories,hard drive,how to protect hard drive,object_problem,member_3
digital_accessories,usb hub,usb hub needs a case,object_problem,member_3
digital_accessories,hard drive,hard drive easy to break,object_problem,member_3
digital_accessories,cables,no good case for cables,object_problem,member_3
digital_accessories,usb hub,usb hub easy to break,object_problem,member_3
digital_accessories,adapter,how to store adapter,object_problem,member_3
digital_accessories,adapter,how to protect adapter,object_problem,member_3
digital_accessories,power bank,no good case for power bank,object_problem,member_3
digital_accessories,ssd,how to protect ssd,object_problem,member_3
digital_accessories,cables,safe storage for cables,object_problem,member_3
digital_accessories,adapter,adapter needs a case,object_problem,member_3
digital_accessories,hard drive,best way to carry hard drive,object_problem,member_3
digital_accessories,usb hub,usb hub damaged in bag,object_problem,member_3
digital_accessories,usb hub,best way to carry usb hub,object_problem,member_3
digital_accessories,adapter,safe storage for adapter,object_problem,member_3
digital_accessories,ssd,best way to carry ssd,object_problem,member_3
digital_accessories,charger,how to store charger,object_problem,member_3
digital_accessories,power bank,power bank scratched easily,object_problem,member_3
digital_accessories,charger,best way to carry charger,object_problem,member_3
digital_accessories,ssd,ssd easy to break,object_problem,member_3
digital_accessories,usb hub,usb hub scratched easily,object_problem,member_3
digital_accessories,usb hub,how to protect usb hub,object_problem,member_3
digital_accessories,power bank,power bank needs a case,object_problem,member_3
digital_accessories,hard drive,no good case for hard drive,object_problem,member_3
digital_accessories,cables,best way to carry cables,object_problem,member_3
digital_accessories,power bank,power bank easy to break,object_problem,member_3
digital_accessories,power bank,how to store power bank,object_problem,member_3
digital_accessories,hard drive,hard drive damaged in bag,object_problem,member_3
digital_accessories,power bank,safe storage for power bank,object_problem,member_3
digital_accessories,charger,no good case for charger,object_problem,member_3
digital_accessories,usb hub,no good case for usb hub,object_problem,member_3
digital_accessories,cables,cables needs a case,object_problem,member_3
digital_accessories,adapter,best way to carry adapter,object_problem,member_3
digital_accessories,power bank,power bank bag setup,object_scenario,member_3
digital_accessories,hard drive,hard drive bag setup,object_scenario,member_3
digital_accessories,power bank,power bank travel setup,object_scenario,member_3
digital_accessories,ssd,ssd bag setup,object_scenario,member_3
digital_accessories,charger,charger travel setup,object_scenario,member_3
digital_accessories,adapter,adapter travel setup,object_scenario,member_3
digital_accessories,usb hub,usb hub bag setup,object_scenario,member_3
digital_accessories,ssd,ssd daily carry,object_scenario,member_3
digital_accessories,power bank,power bank accessories setup,object_scenario,member_3
digital_accessories,adapter,adapter bag setup,object_scenario,member_3
digital_accessories,adapter,adapter accessories setup,object_scenario,member_3
digital_accessories,charger,charger bag setup,object_scenario,member_3
digital_accessories,cables,cables travel setup,object_scenario,member_3
digital_accessories,cables,cables bag setup,object_scenario,member_3
digital_accessories,charger,charger daily carry,object_scenario,member_3
digital_accessories,usb hub,usb hub travel setup,object_scenario,member_3
digital_accessories,ssd,ssd accessories setup,object_scenario,member_3
digital_accessories,charger,charger accessories setup,object_scenario,member_3
digital_accessories,hard drive,hard drive daily carry,object_scenario,member_3
digital_accessories,hard drive,hard drive travel setup,object_scenario,member_3
digital_accessories,usb hub,usb hub daily carry,object_scenario,member_3
digital_accessories,hard drive,hard drive accessories setup,object_scenario,member_3
digital_accessories,ssd,ssd travel setup,object_scenario,member_3
digital_accessories,cables,cables accessories setup,object_scenario,member_3
digital_accessories,power bank,power bank daily carry,object_scenario,member_3
digital_accessories,adapter,adapter daily carry,object_scenario,member_3
digital_accessories,usb hub,usb hub accessories setup,object_scenario,member_3
digital_accessories,cables,cables daily carry,object_scenario,member_3
