comment_id,video_id,video_url,comment_text,signal,confidence,reason,video_title,channel_title,comment_like_count,priority_level
UgxTxoLmYoRSdkowzmR4AaABAg,RkNkmIt2UZ8,https://www.youtube.com/watch?v=RkNkmIt2UZ8,What techpouch do you suggest that can suit a big gaming laptop charger? Thanks,purchase_intent,0.95,"The user explicitly asks for a tech pouch recommendation that can fit a large gaming laptop charger. This is a clear request for a storage/organization product, indicating intent to purchase a tech pouch for carrying equipment.",10 BRILLIANT Tech Pouches for Travel + Everyday Carry (2026 Guide),Nomads Nation ,0,general
UgxYBHMX63ZJbBZhIAR4AaABAg,bgcUT0SKs14,https://www.youtube.com/watch?v=bgcUT0SKs14,"i threw away the hard case for my dji, i thought it was packing material 😢",wishful_thinking,0.95,"The comment expresses regret about throwing away the hard case for a DJI drone, mistakenly thinking it was packing material. This clearly indicates a wishful thinking signal, as the user regrets not keeping the protective case. The hard case for a drone is a professional storage/protective product within scope.",My Everyday Carry Tech - EDC 2026!,Byte Review,0,medium
UgztqPOVzMzYZ-TlfWt4AaABAg,RkNkmIt2UZ8,https://www.youtube.com/watch?v=RkNkmIt2UZ8,"Great video. I bought loads of them a year ago, loaded up, and kept the most useful. That ended up being the large Peak (replacement for office drawers as they were removed) and both sizes of Tomtoc (one for travel, one for EDC).",supply_recommendation,0.95,"The user explicitly recommends specific tech pouches (Peak, Tomtoc) for travel and EDC organization. These are professional storage products (tech pouches) with independent use value. The comment describes buying and using them for specific scenarios.",10 BRILLIANT Tech Pouches for Travel + Everyday Carry (2026 Guide),Nomads Nation ,0,general
Ugz2viweFNBX6AOOEgF4AaABAg,-H-NcR9VAHI,https://www.youtube.com/watch?v=-H-NcR9VAHI,I want this case only!,purchase_intent,0.9,"The comment explicitly states 'I want this case only!', referring to a case shown in a video about a photography kit. This indicates a clear desire to purchase the protective/storage case for camera equipment.",OPPO Find X9 Ultra Hasselblad Earth Explorer Photography Kit,Isa does tech,0,general
UgyiR_o8pAySiv5Vrfd4AaABAg,bgcUT0SKs14,https://www.youtube.com/watch?v=bgcUT0SKs14,That Shupätto bag looks amazing!!,supply_recommendation,0.9,"The user says 'That Shupätto bag looks amazing!!' referring to a bag shown in an EDC video. This is a positive recommendation/reaction to a storage bag, which is a professional protective product for everyday carry items.",My Everyday Carry Tech - EDC 2026!,Byte Review,0,general
Ugw7H7qW--oo3FqDCsN4AaABAg.AW2juqlD2wLAW41_yMtXcT,-H-NcR9VAHI,https://www.youtube.com/watch?v=-H-NcR9VAHI,​​@Isadoes_hahahha  you're right....   i did turn on the captions so managed to understand it all...  no malice meant..🎉.... nice combo the orange and the hasselblad phone cover....  i aim to get 1 next week....the 10x optical zoom got me.❤,purchase_intent,0.9,"The user mentions 'the orange and the hasselblad phone cover' and says 'i aim to get 1 next week'. Although it is a phone cover, the context is a photography kit with a professional camera attachment, and the cover is part of a specialized photography equipment set. However, it is still a phone case, which is excluded. The comment also expresses intent to buy the phone for its 10x optical zoom, not the case.",OPPO Find X9 Ultra Hasselblad Earth Explorer Photography Kit,Isa does tech,0,general
UgyORn1Y3J3l-sEBxZd4AaABAg,yoH7ysP_ahM,https://www.youtube.com/watch?v=yoH7ysP_ahM,If you can find them Filson did a few camera bags with Mangum,supply_recommendation,0.9,"The comment recommends Filson camera bags made in collaboration with Mangum. Camera bags are professional storage/protective products within scope. The user suggests finding these bags, which constitutes a supply recommendation.",Four everyday carry camera bags!  #photography #everydaycarrygear,Dave Herring,0,general
Ugy8U40qXIm9pte5wuh4AaABAg.AVkJzKXthW2AVx_OgEWnV2,r5MEHafYweo,https://www.youtube.com/watch?v=r5MEHafYweo,These sound like mini backpacks right? The Vanguard sound much bigger. I’m assuming 36 L. I think my Torvol is 30 L + 10 with the roll top. I will check out the Eastpack. Thanks for sharing your gear and preferences,comparison_research,0.9,"The comment compares different camera bags (Vanguard, Torvol, Eastpack) by size and features. This is an active comparison of professional storage products for camera gear, indicating the user is researching which bag to choose.",The Best Budget Camera Sling for Travel Photography,Cyprus Photography Tours,1,general
UgzUfus0bG9I9lWjF0x4AaABAg,J74PqmPW4cc,https://www.youtube.com/watch?v=J74PqmPW4cc,I love Alien Gear Photon but they don’t make it for the smith and Wesson  bodyguard 2.0 carry comp which is my edc,problem_complaint,0.85,"The user mentions they love a specific holster brand (Alien Gear Photon) but it is not available for their firearm model. Holsters are protective products for firearms, which fall under professional protective cases/containers. The comment expresses dissatisfaction with the lack of compatibility.",Amazon Budget Pistol Setup You’ll Actually Use (And What to Skip for Your EDC),Doug Johnson,0,general
UgwLgpzxrXhayUghChZ4AaABAg.AVprJ6inNefAW4AEWM6cXB,J74PqmPW4cc,https://www.youtube.com/watch?v=J74PqmPW4cc,"That olight se is awesome, I have one and it holds zero great so far",supply_recommendation,0.85,"The user positively reviews an Olight SE (likely a firearm light or accessory), stating it 'holds zero great'. While this is a positive recommendation, it is about a light, not a storage or protective case. The product is an accessory, not a protective container.",Amazon Budget Pistol Setup You’ll Actually Use (And What to Skip for Your EDC),Doug Johnson,0,general
