category,object,intent,scenario,pain_pattern,query,query_type,assigned_to
consumer_electronics,headphones,organizer,desk setup,,headphones organizer desk setup,product_intent_scenario,member_1
consumer_electronics,airpods,carrying case,how to use,,airpods carrying case how to use,product_intent_scenario,member_1
consumer_electronics,macbook,carrying case,unboxing,,macbook carrying case unboxing,product_intent_scenario,member_1
consumer_electronics,airpods,travel case,travel,,airpods travel case travel,product_intent_scenario,member_1
consumer_electronics,macbook,hard case,desk setup,,macbook hard case desk setup,product_intent_scenario,member_1
consumer_electronics,airpods,carrying case,daily use,,airpods carrying case daily use,product_intent_scenario,member_1
consumer_electronics,ipad,protective case,daily use,,ipad protective case daily use,product_intent_scenario,member_1
consumer_electronics,tablet,holder,EDC,,tablet holder EDC,product_intent_scenario,member_1
consumer_electronics,ipad,carrying case,setup,,ipad carrying case setup,product_intent_scenario,member_1
consumer_electronics,tablet,protective case,how to use,,tablet protective case how to use,product_intent_scenario,member_1
consumer_electronics,airpods,case,travel,,airpods case travel,product_intent_scenario,member_1
consumer_electronics,earbuds,protective case,daily use,,earbuds protective case daily use,product_intent_scenario,member_1
consumer_electronics,tablet,holder,review,,tablet holder review,product_intent_scenario,member_1
consumer_electronics,airpods,carrying case,how to store,,airpods carrying case how to store,product_intent_scenario,member_1
consumer_electronics,ipad,case,setup,,ipad case setup,product_intent_scenario,member_1
consumer_electronics,headphones,hard case,how to store,,headphones hard case how to store,product_intent_scenario,member_1
consumer_electronics,macbook,organizer,how to carry,,macbook organizer how to carry,product_intent_scenario,member_1
consumer_electronics,earbuds,hard case,unboxing,,earbuds hard case unboxing,product_intent_scenario,member_1
consumer_electronics,macbook,carrying case,travel,,macbook carrying case travel,product_intent_scenario,member_1
consumer_electronics,airpods,holder,how to store,,airpods holder how to store,product_intent_scenario,member_1
consumer_electronics,tablet,hard case,how to use,,tablet hard case how to use,product_intent_scenario,member_1
consumer_electronics,headphones,case,how to store,,headphones case how to store,product_intent_scenario,member_1
consumer_electronics,ipad,protective case,EDC,,ipad protective case EDC,product_intent_scenario,member_1
consumer_electronics,earbuds,carrying case,daily use,,earbuds carrying case daily use,product_intent_scenario,member_1
consumer_electronics,macbook,protective case,desk setup,,macbook protective case desk setup,product_intent_scenario,member_1
consumer_electronics,airpods,case,setup,,airpods case setup,product_intent_scenario,member_1
consumer_electronics,headphones,case,review,,headphones case review,product_intent_scenario,member_1
consumer_electronics,ipad,travel case,daily use,,ipad travel case daily use,product_intent_scenario,member_1
consumer_electronics,airpods,hard case,review,,airpods hard case review,product_intent_scenario,member_1
consumer_electronics,ipad,organizer,unboxing,,ipad organizer unboxing,product_intent_scenario,member_1
consumer_electronics,tablet,hard case,unboxing,,tablet hard case unboxing,product_intent_scenario,member_1
consumer_electronics,earbuds,travel case,travel,,earbuds travel case travel,product_intent_scenario,member_1
consumer_electronics,headphones,box,how to store,,headphones box how to store,product_intent_scenario,member_1
consumer_electronics,macbook,hard case,how to carry,,macbook hard case how to carry,product_intent_scenario,member_1
consumer_electronics,ipad,carrying case,desk setup,,ipad carrying case desk setup,product_intent_scenario,member_1
consumer_electronics,macbook,carrying case,how to carry,,macbook carrying case how to carry,product_intent_scenario,member_1
consumer_electronics,tablet,holder,how to carry,,tablet holder how to carry,product_intent_scenario,member_1
consumer_electronics,airpods,carrying case,setup,,airpods carrying case setup,product_intent_scenario,member_1
consumer_electronics,headphones,hard case,travel,,headphones hard case travel,product_intent_scenario,member_1
consumer_electronics,headphones,travel case,EDC,,headphones travel case EDC,product_intent_scenario,member_1
consumer_electronics,ipad,holder,unboxing,,ipad holder unboxing,product_intent_scenario,member_1
consumer_electronics,macbook,storage,EDC,,macbook storage EDC,product_intent_scenario,member_1
consumer_electronics,earbuds,holder,review,,earbuds holder review,product_intent_scenario,member_1
consumer_electronics,macbook,case,daily use,,macbook case daily use,product_intent_scenario,member_1
consumer_electronics,earbuds,travel case,how to use,,earbuds travel case how to use,product_intent_scenario,member_1
consumer_electronics,airpods,carrying case,desk setup,,airpods carrying case desk setup,product_intent_scenario,member_1
consumer_electronics,tablet,case,setup,,tablet case setup,product_intent_scenario,member_1
consumer_electronics,tablet,storage,travel,,tablet storage travel,product_intent_scenario,member_1
consumer_electronics,macbook,travel case,how to use,,macbook travel case how to use,product_intent_scenario,member_1
consumer_electronics,airpods,storage,review,,airpods storage review,product_intent_scenario,member_1
consumer_electronics,headphones,holder,how to store,,headphones holder how to store,product_intent_scenario,member_1
consumer_electronics,macbook,box,unboxing,,macbook box unboxing,product_intent_scenario,member_1
consumer_electronics,macbook,organizer,daily use,,macbook organizer daily use,product_intent_scenario,member_1
consumer_electronics,airpods,case,desk setup,,airpods case desk setup,product_intent_scenario,member_1
consumer_electronics,macbook,carrying case,EDC,,macbook carrying case EDC,product_intent_scenario,member_1
consumer_electronics,ipad,holder,how to store,,ipad holder how to store,product_intent_scenario,member_1
consumer_electronics,earbuds,hard case,how to carry,,earbuds hard case how to carry,product_intent_scenario,member_1
consumer_electronics,tablet,travel case,travel,,tablet travel case travel,product_intent_scenario,member_1
consumer_electronics,tablet,hard case,review,,tablet hard case review,product_intent_scenario,member_1
consumer_electronics,earbuds,box,EDC,,earbuds box EDC,product_intent_scenario,member_1
consumer_electronics,headphones,hard case,,,headphones hard case,product_intent,member_1
consumer_electronics,macbook,organizer,,,macbook organizer,product_intent,member_1
consumer_electronics,macbook,storage,,,macbook storage,product_intent,member_1
consumer_electronics,earbuds,storage,,,earbuds storage,product_intent,member_1
consumer_electronics,tablet,travel case,,,tablet travel case,product_intent,member_1
consumer_electronics,airpods,holder,,,airpods holder,product_intent,member_1
